date,S0_always_short,S1_below_ma20,S2_below_ma60,S3_below_ma60_down,S4_below_ma120_down,S5_death_cross,S6_break_ll20,S7_ma60_down_and_ll20,S8_ret60_neg_ma60,S9_rsi_overbought_short,S10_vol_expand_ma60
2017-01-20,0.8917119643243382,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-01-23,0.8843527123143731,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-01-24,0.8806863196514348,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-02-02,0.8873059182852749,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-02-03,0.8812485765497807,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-02-06,0.8750866519759608,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-02-07,0.873705663045962,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-02-08,0.874164542070671,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-02-09,0.8685603342865079,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-02-10,0.8611227875643386,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-02-13,0.8569321920978317,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0051089311113683,0.9895641354627259
2017-02-14,0.8564907020452309,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.004591100647117,0.9895641354627259
2017-02-15,0.8495316600354013,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.9964287333786688,0.9895641354627259
2017-02-16,0.8521317365301027,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.9994784030380609,0.9895641354627259
2017-02-17,0.8530037501778002,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0005012012401056,0.9895641354627259
2017-02-18,0.8507318696712828,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.9978364776965445,0.9895641354627259
2017-02-20,0.8526440173145978,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.00007926503914,0.9895641354627259
2017-02-21,0.8526440173145978,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.00007926503914,0.9895641354627259
2017-02-22,0.851159791603524,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.9983383939040114,0.9895641354627259
2017-02-23,0.8521168352207824,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.999460925063466,0.9895641354627259
2017-02-24,0.853076033459365,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.000585983411368,0.9895641354627259
2017-03-01,0.8599803472226363,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0086841590787687,0.9895641354627259
2017-03-02,0.8591809438839662,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.008532856454907,0.9895641354627259
2017-03-03,0.8646777159942547,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.008532856454907,0.9895641354627259
